,index,body,Target,Date,I(positive),I(neutral),I(negative),I(positive)*score,I(neutral)*score,I(negative)*score
0,32823,hi kobethks for fl see my last price target for aapl twtr tesla goog on,0,2015-07-30 22:27:01,0,1,0,0.0,0.598708987236023,0.0
1,16298,tesla wmt tesla shares see quick spike on cnbc article stating that wmt will test out teslas new electric semi truck,1,2017-11-17 16:12:03,1,0,0,0.6995415687561035,0.0,0.0
2,28505,monster 260 puts bought tesla,0,2018-09-28 18:53:58,0,1,0,0.0,0.8142518401145935,0.0
3,6689,shhh dont tell the shorts or the haters model3 production is ramping 100 cars spotted in fremont tesla tesla,0,2017-12-11 19:55:16,0,1,0,0.0,0.5307032465934753,0.0
4,26893,seekingalpha concerns about product efficiency rd expenses prevent tesla from shifting into high gear concernsproductefficiencyranddexpensespreventteslashiftinghighgearsourcefeedf tesla,0,2016-10-21 16:41:03,0,1,0,0.0,0.654112696647644,0.0
5,36572,tesla model s was the 2nd bestselling large luxury car in america tesla,0,2015-02-27 16:12:52,0,1,0,0.0,0.6784862279891968,0.0
6,12335,ceo tesla elon musks tesla buyout would reengineer takeprivate deals,0,2018-08-08 07:14:29,0,1,0,0.0,0.6780205965042114,0.0
7,29591,btw estimated earnings per share for tesla is 167 its 057 of the current price,0,2018-05-15 12:41:04,0,1,0,0.0,0.672045886516571,0.0
8,18948,sold another 20 of jan tesla holding 60 of initial position now 50 of weekly position,0,2017-12-11 15:30:51,0,1,0,0.0,0.9386484026908875,0.0
9,31067,greecethedrachmawhatwearewatchic1j26 greece the drachma what we are watching fxe spy qqq iwm aapl yhoo tesla,0,2015-02-20 17:21:37,0,1,0,0.0,0.7024606466293335,0.0
10,22241,even as a passive investment itd be smart for cook sink 25b in for 25 stake tesla,1,2017-08-03 03:16:07,0,1,0,0.0,0.5725016593933105,0.0
11,13787,tesla is a bull signal,1,2018-06-18 20:06:40,0,1,0,0.0,0.7121452689170837,0.0
12,5128,blind item 8that celebrity ceo has found a new way to enjoy two drugs at once dip his joints into liquid lsd and then smoke awayposted by ent lawyer at 845 amtsla crazydaysandnightsnet201808blinditem822html,0,2018-08-22 16:21:56,0,1,0,0.0,0.8552775382995605,0.0
13,9125,all those evs need to be developed for europe anyway if zev stands theyll swamp biggest us tesla markets also new epa is bad for scty,1,2016-12-09 23:20:22,0,1,0,0.0,0.9297285676002502,0.0
14,35041,first buy signal on tesla lowprobability gain of 33 target 220 mid to longterm,1,2016-02-08 19:35:44,0,0,1,0.0,0.0,0.9548943042755127
15,3510,tesla high open interest range is 24000 to 20500 for option expiration 09232016,1,2016-09-17 03:13:30,0,0,1,0.0,0.0,0.5327453017234802
16,16441,tesla has come back from 20150 now back to 207,0,2015-02-24 16:25:56,0,1,0,0.0,0.5480902194976807,0.0
17,19463,long watch baba nvda celg ibm side charts gs cat tslashort watch pacwall on 5 minute chart,1,2017-03-31 14:37:06,0,1,0,0.0,0.7266860604286194,0.0
18,26283,no bears buying at all holy crap es spy aapl tesla nflx amzn,0,2018-03-08 18:36:49,0,0,1,0.0,0.0,0.6783482432365417
19,36216,its losses but since tesla only owns a part of the sub part goes awayline 1 fully consolidatedline 2 loss that doesnt belong to tesla common shareholdersline 3 higher than line 1 bc part of loss stripped awayjust curious what these subs are tesla tslaq,1,2018-10-25 04:29:48,0,1,0,0.0,0.8163299560546875,0.0
20,17407,spy lots of talk of a death rattle here but no one pointed out the lowest volume day since the correction started yes it was 3 hours shorter but still significant aapl amzn fb goog tesla,1,2018-11-23 23:09:20,0,0,1,0.0,0.0,0.7112347483634949
21,10919,why you cant buy a tesla in these states yahoo finance tesla,1,2018-10-16 13:35:01,0,0,1,0.0,0.0,0.9457604885101318
22,30866,tesla will close above 400 no the sky is falling lol lol lol tesla douchebuggy bubble,1,2017-08-02 14:49:08,0,1,0,0.0,0.8016502857208252,0.0
23,34436,see teslas new navigate on autopilot feature in action videos teslasnewdrivenavigationfeature via tesla ev electricvehicle v9,0,2018-09-29 19:38:32,0,1,0,0.0,0.904140055179596,0.0
24,12701,added more tesla dec29 335c here avg downs to 311,0,2017-12-21 14:53:15,0,0,1,0.0,0.0,0.6700398325920105
25,35676,now offering 7 day free trial to options day trading team room or twtr feed celg aapl nflx tesla amzn googl,0,2017-10-18 19:45:10,1,0,0,0.733258068561554,0.0,0.0
26,34089,22 and they havent raised a significant sum in a while why not only he knows tesla,1,2018-05-05 16:44:20,0,1,0,0.0,0.800201416015625,0.0
27,21261,he was busy buying tesla,0,2018-07-16 20:08:14,1,0,0,0.8493874073028564,0.0,0.0
28,26173,i think tesla getting delisted is more likely tesla,0,2018-08-11 00:20:26,0,1,0,0.0,0.8292266726493835,0.0
29,28283,qcom news updated thursday february 5 2015 030733 am tpi iyr tesla born,0,2015-02-05 08:43:10,0,1,0,0.0,0.913027286529541,0.0
30,37266,aapl 11454 do or die bottom range pivots giving some cash flow ie tesla capn fb 9335 piv as well ps60,0,2015-08-13 14:17:37,0,1,0,0.0,0.5214031338691711,0.0
31,32506,not to mention his 420 joke just weeks before the infamous 420 tweet underreported in my opinions21tsla tslaq,0,2018-09-18 18:44:03,0,1,0,0.0,0.7281675338745117,0.0
32,33381,tlry is more likely to ever pay a dividend than tesla,0,2018-09-21 02:14:51,0,0,1,0.0,0.0,0.9104627966880798
33,39380,must be a first i agree with bannon tesla tslaq,0,2018-08-30 15:58:13,0,1,0,0.0,0.7012946009635925,0.0
34,20845,attaboy local dreadnaughts tesla tslaq,0,2018-08-31 15:58:25,1,0,0,0.8228205442428589,0.0,0.0
35,252,tesla bears are using every trick in the book to stop the short squeeze but they are running out of ammo who knows if they will succeed or not but i have my popcorn ready and i have no mercy for those who dance on failure,0,2018-06-13 13:18:14,0,1,0,0.0,0.5272137522697449,0.0
36,35119,war of words between tesla and mbly getting uglier,1,2016-09-16 14:44:23,0,0,1,0.0,0.0,0.6083506345748901
37,3434,qld proshares ultra qqq fund short salesqld tna cmcm tesla qld stocks stock,1,2015-06-19 04:44:04,0,1,0,0.0,0.5414237976074219,0.0
38,1278,gain from movement in these buzzing assets digitaltransformation edtech machinelearning robotics tesla assets23digitaltransformation23edtech23machinelearning23roboticstsla,0,2018-03-14 23:18:19,0,1,0,0.0,0.8184376955032349,0.0
39,8285,published precisely on october 23 2017 1152 amtesla set to build whollyowned plant in shanghai china tesla settobuildwhollyownedplantinshanghaichinatslahtml afp,0,2018-01-18 05:29:43,0,1,0,0.0,0.845955491065979,0.0
40,15215,i love ya if it does it will be the best buying opportunity you could wish for tesla,0,2015-08-13 23:40:58,0,1,0,0.0,0.89056795835495,0.0
41,2624,justice delayed is justice denied but i would say this one came faster than my expectations not bad sec shortssecured tesla tslaq,0,2018-09-27 20:39:24,0,0,1,0.0,0.0,0.6070042252540588
42,3698,tesla it explains the relatively high cost if they are taking a software design approach then they will be pretty eager to replace or restart different sections of the line doing so in software costs far less than hardware systems so they probably erred towards high spending,1,2018-08-04 19:02:43,0,1,0,0.0,0.9358603954315186,0.0
