,index,body,Target,Date,I(positive),I(neutral),I(negative),I(positive)*score,I(neutral)*score,I(negative)*score
0,32823,tesla brought down by hubris who could have expected that another guy who gets it tesla,0,2016-04-05 15:55:44,0,1,0,0.0,0.7729527950286865,0.0
1,16298,tesla tesla starts 2018 with a rally costing shorts over 1 billion electrek,1,2018-01-23 04:26:01,0,0,1,0.0,0.0,0.5693532824516296
2,28505,recap 1214pos comments kors kmx kr bhp hx mcdneg comments winc fdx ups gold rio nxtm mdxg dcm tesla nflx qsr,0,2017-12-14 21:04:47,0,1,0,0.0,0.6962321996688843,0.0
3,6689,george mason gave tesla a buy rating on 21815 and it rose 2056 ask this trader what they think now,0,2015-05-19 21:55:40,0,1,0,0.0,0.9140947461128235,0.0
4,26893,buy the fbi dip tesla,0,2018-10-26 18:30:17,0,0,1,0.0,0.0,0.5468184947967529
5,36572,and will actually work tesla,0,2018-05-10 02:43:02,0,1,0,0.0,0.8970918655395508,0.0
6,12335,tesla modely pickup,0,2018-10-24 23:13:18,0,1,0,0.0,0.7878594994544983,0.0
7,29591,on the fly top five analyst upgrades cat tesla hlt oc trip,0,2018-10-25 14:58:02,0,1,0,0.0,0.7643514275550842,0.0
8,18948,jnj johnson johnson day highjnj aig nti tesla jnj nasdaq investing,0,2015-08-30 13:41:40,0,0,1,0.0,0.0,0.789337158203125
9,31067,tesla employees are probably not unionized in silicon valley tesla should be rd batterystorage company leave autos to established compan,0,2017-10-18 18:55:11,0,1,0,0.0,0.7143228650093079,0.0
10,22241,thought theyd release a huge m3p number in q2 but i declined to bet since if the number was low as i predicted they wouldnt release it tesla makes this very hard as they dont release any bad s except mandated by sec reporting,1,2018-08-31 17:46:58,0,1,0,0.0,0.7203701138496399,0.0
11,13787,tesla was such a bull trap yesterday,1,2015-01-28 15:36:37,0,1,0,0.0,0.8672748804092407,0.0
12,5128,i have always said the tesla bulls were zombies and now i have proof tesla tslaq,0,2018-10-05 10:53:01,0,1,0,0.0,0.6304290890693665,0.0
13,9125,solarcity deep dive solar leases make a surprising amount of sense for at least 45 of ame solarcitydeepdivesolarleasesmakesurprisingamountsenseleast45percentamericanssourcefeedf run tesla vslr,1,2016-09-19 13:54:17,1,0,0,0.8190319538116455,0.0,0.0
14,35041,tesla tesla on track to make 8000 model 3s per week evercore says,1,2018-08-16 15:16:05,0,0,1,0.0,0.0,0.5672139525413513
15,3510,you guys need to do a with to lighten the mood a little bit around tesla,1,2018-08-16 06:20:32,0,0,1,0.0,0.0,0.7673944234848022
16,16441,abb lgeaf sedg smtgf tesla enph,0,2018-06-13 18:27:25,0,1,0,0.0,0.8009340167045593,0.0
17,19463,a good tesla analyst wants answers to production capacity model range sales network after sales bog standard stuff on flowcharts,1,2017-02-24 18:25:09,0,1,0,0.0,0.8891615867614746,0.0
18,26283,financenews you need to correct your story the 400 chargers are just regular level 2 not superchargers only 20 new superchargers tesla,0,2015-07-01 10:58:39,0,1,0,0.0,0.5772944688796997,0.0
19,36216,optionblock is live today at 3pm central discussing wnsss techlash tesla and more with at,1,2018-03-29 19:38:08,0,1,0,0.0,0.6126371026039124,0.0
20,17407,tesla opening short here not good rr the spot to do it was yesterday morning will take 100 loss on these calls,1,2015-03-25 14:18:01,0,1,0,0.0,0.7757773995399475,0.0
21,10919,as if that matters to stock price tesla,1,2017-02-15 21:51:14,1,0,0,0.831981897354126,0.0,0.0
